,data_drift
2ndFlrSF,0.015523204693713115
Id,6.900849643685977
BsmtFinSF2,0.009885067802501339
Neighborhood,-2.1486013129069504e+302
BsmtExposure,1.5e-323
Street,5e-324
CentralAir,5e-324
Exterior2nd,5e-323
OpenPorchSF,0.027056473325618738
MasVnrArea,0.0030159428484966533
FullBath,0.0047108815756612705
BsmtHalfBath,0.0012610708930642174
Functional,3e-323
YearBuilt,0.013587161156764267
TotalBsmtSF,0.03418529989944247
BsmtFullBath,0.002391439119019599
GarageCars,0.008959733411938642
PoolArea,0.0076155332893347765
ExterCond,2e-323
MasVnrType,1e-323
Electrical,1.5e-323
KitchenQual,1.5e-323
GarageArea,0.0045420808930302335
GarageCond,2e-323
OverallQual,0.018360200043108763
WoodDeckSF,0.005291221504007632
Exterior1st,4.4e-323
GrLivArea,0.023522401121388193
KitchenAbvGr,0.0038146151544549514
LandContour,1.5e-323
BsmtFinType1,1.5e-323
TotRmsAbvGrd,0.021620156369474394
BldgType,5e-324
MSZoning,1.5e-323
MiscVal,0.0051115010634788655
Heating,0.0
BsmtUnfSF,0.009444896380919915
LotConfig,1.5e-323
SaleCondition,2e-323
PavedDrive,1e-323
EnclosedPorch,0.02187538426614477
GarageType,1.5e-323
OverallCond,0.012056170898247866
Foundation,1e-323
BsmtCond,1.5e-323
HeatingQC,1e-323
MoSold,0.023544767983238457
BedroomAbvGr,0.012290966974506615
MSSubClass,0.0029313472913396624
LotFrontage,0.0028924588176698586
Condition1,1e-323
LotShape,1e-323
Condition2,1e-323
GarageYrBlt,7.760177104080918e-05
1stFlrSF,0.01035602600867041
BsmtFinSF1,0.004604238776747401
ExterQual,1.5e-323
3SsnPorch,0.006702654121687291
GarageFinish,1e-323
YearRemodAdd,0.01032081479234104
HalfBath,0.0002447621428006453
Alley,0.0
LowQualFinSF,0.02300074322808419
GarageQual,1.5e-323
LotArea,0.009436116321379489
YrSold,0.005316130414553183
PoolQC,3.6e-321
FireplaceQu,1.5e-323
ScreenPorch,0.01821860863029251
SaleType,4e-323
Utilities,1.90800253808e-312
Fence,5e-324
LandSlope,0.0
Fireplaces,0.003467898956078312
RoofMatl,0.0
MiscFeature,3e-323
HouseStyle,1.5e-323
BsmtFinType2,2.5e-323
BsmtQual,6.235610674851014e+268
RoofStyle,4.7656435014e-313
